ReleaseVersion,BuildVersion
1903,"10.0.18362.175"
1903,"10.0.18362.145"
1903,"10.0.18362.116"
1809,"10.0.17763.2091"
1809,"10.0.17763.2090"
1809,"10.0.17763.2061"
1809,"10.0.17763.2029"
1809,"10.0.17763.2028"
1809,"10.0.17763.1999"
1809,"10.0.17763.1971"
1809,"10.0.17763.1935"
1809,"10.0.17763.1911"
1809,"10.0.17763.1879"
1809,"10.0.17763.1852"
1809,"10.0.17763.1823"
1809,"10.0.17763.1821"
1809,"10.0.17763.1817"
1809,"10.0.17763.1790"
1809,"10.0.17763.1757"
1809,"10.0.17763.1728"
1809,"10.0.17763.1697"
1809,"10.0.17763.1637"
1809,"10.0.17763.1613"
1809,"10.0.17763.1579"
1809,"10.0.17763.1577"
1809,"10.0.17763.1554"
1809,"10.0.17763.1518"
1809,"10.0.17763.1490"
1809,"10.0.17763.1457"
1809,"10.0.17763.1432"
1809,"10.0.17763.1397"
1809,"10.0.17763.1369"
1809,"10.0.17763.1339"
1809,"10.0.17763.1294"
1809,"10.0.17763.1282"
1809,"10.0.17763.1217"
1809,"10.0.17763.1192"
1809,"10.0.17763.1158"
1809,"10.0.17763.1132"
1809,"10.0.17763.1131"
1809,"10.0.17763.1098"
1809,"10.0.17763.1075"
1809,"10.0.17763.1039"
1809,"10.0.17763.1012"
1809,"10.0.17763.973"
1809,"10.0.17763.914"
1809,"10.0.17763.864"
1809,"10.0.17763.832"
1809,"10.0.17763.805"
1809,"10.0.17763.775"
1809,"10.0.17763.774"
1809,"10.0.17763.740"
1809,"10.0.17763.737"
1809,"10.0.17763.720"
1809,"10.0.17763.678"
1809,"10.0.17763.652"
1809,"10.0.17763.615"
1809,"10.0.17763.593"
1809,"10.0.17763.592"
1809,"10.0.17763.557"
1809,"10.0.17763.529"
1809,"10.0.17763.504"
1809,"10.0.17763.503"
1809,"10.0.17763.475"
1809,"10.0.17763.439"
1809,"10.0.17763.437"
1809,"10.0.17763.404"
1809,"10.0.17763.379"
1809,"10.0.17763.348"
1809,"10.0.17763.316"
1809,"10.0.17763.292"
1809,"10.0.17763.253"
1809,"10.0.17763.195"
1809,"10.0.17763.194"
1809,"10.0.17763.168"
1809,"10.0.17763.134"
1809,"10.0.17763.107"
1809,"10.0.17763.55"
1809,"10.0.17763.1"
1803,"10.0.17134.2208"
1803,"10.0.17134.2145"
1803,"10.0.17134.2090"
1803,"10.0.17134.2088"
1803,"10.0.17134.2087"
1803,"10.0.17134.2026"
1803,"10.0.17134.1967"
1803,"10.0.17134.1902"
1803,"10.0.17134.1845"
1803,"10.0.17134.1792"
1803,"10.0.17134.1726"
1803,"10.0.17134.1667"
1803,"10.0.17134.1610"
1803,"10.0.17134.1553"
1803,"10.0.17134.1550"
1803,"10.0.17134.1488"
1803,"10.0.17134.1456"
1803,"10.0.17134.1425"
1803,"10.0.17134.1401"
1803,"10.0.17134.1399"
1803,"10.0.17134.1365"
1803,"10.0.17134.1345"
1803,"10.0.17134.1304"
1803,"10.0.17134.1276"
1803,"10.0.17134.1246"
1803,"10.0.17134.1184"
1803,"10.0.17134.1130"
1803,"10.0.17134.1099"
1803,"10.0.17134.1069"
1803,"10.0.17134.1040"
1803,"10.0.17134.1039"
1803,"10.0.17134.1009"
1803,"10.0.17134.1006"
1803,"10.0.17134.984"
1803,"10.0.17134.950"
1803,"10.0.17134.915"
1803,"10.0.17134.885"
1803,"10.0.17134.860"
1803,"10.0.17134.858"
1803,"10.0.17134.829"
1803,"10.0.17134.799"
1803,"10.0.17134.766"
1803,"10.0.17134.765"
1803,"10.0.17134.753"
1803,"10.0.17134.706"
1803,"10.0.17134.677"
1803,"10.0.17134.648"
1803,"10.0.17134.619"
1803,"10.0.17134.590"
1803,"10.0.17134.556"
1803,"10.0.17134.523"
1803,"10.0.17134.472"
1803,"10.0.17134.471"
1803,"10.0.17134.441"
1803,"10.0.17134.407"
1803,"10.0.17134.376"
1803,"10.0.17134.345"
1803,"10.0.17134.320"
1803,"10.0.17134.286"
1803,"10.0.17134.285"
1803,"10.0.17134.254"
1803,"10.0.17134.228"
1803,"10.0.17134.191"
1803,"10.0.17134.167"
1803,"10.0.17134.165"
1803,"10.0.17134.137"
1803,"10.0.17134.112"
1803,"10.0.17134.83"
1803,"10.0.17134.81"
1803,"10.0.17134.48"
1709,"10.0.16299.2166"
1709,"10.0.16299.2107"
1709,"10.0.16299.2045"
1709,"10.0.16299.1992"
1709,"10.0.16299.1937"
1709,"10.0.16299.1932"
1709,"10.0.16299.1868"
1709,"10.0.16299.1806"
1709,"10.0.16299.1776"
1709,"10.0.16299.1775"
1709,"10.0.16299.1747"
1709,"10.0.16299.1717"
1709,"10.0.16299.1686"
1709,"10.0.16299.1654"
1709,"10.0.16299.1625"
1709,"10.0.16299.1565"
1709,"10.0.16299.1508"
1709,"10.0.16299.1481"
1709,"10.0.16299.1451"
1709,"10.0.16299.1421"
1709,"10.0.16299.1420"
1709,"10.0.16299.1392"
1709,"10.0.16299.1387"
1709,"10.0.16299.1365"
1709,"10.0.16299.1331"
1709,"10.0.16299.1296"
1709,"10.0.16299.1268"
1709,"10.0.16299.1239"
1709,"10.0.16299.1237"
1709,"10.0.16299.1217"
1709,"10.0.16299.1182"
1709,"10.0.16299.1150"
1709,"10.0.16299.1146"
1709,"10.0.16299.1127"
1709,"10.0.16299.1087"
1709,"10.0.16299.1059"
1709,"10.0.16299.1029"
1709,"10.0.16299.1004"
1709,"10.0.16299.967"
1709,"10.0.16299.936"
1709,"10.0.16299.904"
1709,"10.0.16299.847"
1709,"10.0.16299.846"
1709,"10.0.16299.820"
1709,"10.0.16299.785"
1709,"10.0.16299.755"
1709,"10.0.16299.726"
1709,"10.0.16299.699"
1709,"10.0.16299.666"
1709,"10.0.16299.665"
1709,"10.0.16299.637"
1709,"10.0.16299.611"
1709,"10.0.16299.579"
1709,"10.0.16299.551"
1709,"10.0.16299.547"
1709,"10.0.16299.522"
1709,"10.0.16299.492"
1709,"10.0.16299.461"
1709,"10.0.16299.431"
1709,"10.0.16299.402"
1709,"10.0.16299.371"
1709,"10.0.16299.334"
1709,"10.0.16299.309"
1709,"10.0.16299.251"
1709,"10.0.16299.248"
1709,"10.0.16299.214"
1709,"10.0.16299.201"
1709,"10.0.16299.194"
1709,"10.0.16299.192"
1709,"10.0.16299.125"
1709,"10.0.16299.98"
1709,"10.0.16299.64"
1709,"10.0.16299.19"
1703,"10.0.15063.2108"
1703,"10.0.15063.2079"
1703,"10.0.15063.2078"
1703,"10.0.15063.2046"
1703,"10.0.15063.2045"
1703,"10.0.15063.2021"
1703,"10.0.15063.1988"
1703,"10.0.15063.1955"
1703,"10.0.15063.1928"
1703,"10.0.15063.1898"
1703,"10.0.15063.1897"
1703,"10.0.15063.1868"
1703,"10.0.15063.1839"
1703,"10.0.15063.1808"
1703,"10.0.15063.1805"
1703,"10.0.15063.1785"
1703,"10.0.15063.1784"
1703,"10.0.15063.1746"
1703,"10.0.15063.1716"
1703,"10.0.15063.1689"
1703,"10.0.15063.1659"
1703,"10.0.15063.1631"
1703,"10.0.15063.1596"
1703,"10.0.15063.1563"
1703,"10.0.15063.1508"
1703,"10.0.15063.1506"
1703,"10.0.15063.1478"
1703,"10.0.15063.1446"
1703,"10.0.15063.1418"
1703,"10.0.15063.1387"
1703,"10.0.15063.1356"
1703,"10.0.15063.1324"
1703,"10.0.15063.1292"
1703,"10.0.15063.1266"
1703,"10.0.15063.1235"
